Name,Team,G,PA,HR,R,RBI,SB,BBr,Kr,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCp,BsR,Off,Def,WAR,playerid
Ben Zobrist,- - -,126,535,13,76,56,3,11.60%,10.50%,0.173,0.288,0.276,0.359,0.45,0.349,123,-0.9,13.3,-11.5,2.1,7435
Albert Pujols,Angels,157,661,40,85,95,5,7.60%,10.90%,0.236,0.217,0.244,0.307,0.48,0.333,116,-4.9,7.3,-10.2,2,1177
Carlos Beltran,Yankees,133,531,19,57,67,0,8.50%,16.00%,0.195,0.297,0.276,0.337,0.471,0.346,119,-0.4,11,-10.4,1.9,589
Ben Revere,- - -,152,634,2,84,45,31,5.00%,10.10%,0.071,0.338,0.306,0.342,0.377,0.316,98,8,6.2,-8.7,1.9,4712
DJ LeMahieu,Rockies,150,620,6,85,61,23,8.10%,17.30%,0.087,0.362,0.301,0.358,0.388,0.327,89,3.2,-4.6,2.8,1.9,9874
Wilmer Flores,Mets,137,510,16,55,59,0,3.70%,12.40%,0.145,0.273,0.263,0.295,0.408,0.304,95,0,-2.7,4.3,1.9,5827
Ian Desmond,Nationals,156,641,19,69,62,13,7.00%,29.20%,0.151,0.307,0.233,0.29,0.384,0.294,83,5.5,-7.1,3.3,1.7,6885
Marcus Semien,Athletics,155,601,15,65,45,11,7.00%,22.00%,0.147,0.312,0.257,0.31,0.405,0.311,98,1,-0.3,-3.3,1.7,12533
Jhonny Peralta,Cardinals,155,640,17,64,71,1,7.80%,17.30%,0.136,0.311,0.275,0.334,0.411,0.323,105,-6.6,-3.1,-0.8,1.7,1738
Yangervis Solarte,Padres,152,571,14,63,63,1,6.00%,9.80%,0.158,0.279,0.27,0.32,0.428,0.324,109,-4.5,1.6,-3.9,1.6,5352
Salvador Perez,Royals,142,553,21,52,70,1,2.40%,14.80%,0.166,0.27,0.26,0.28,0.426,0.3,87,-6.7,-14.9,12,1.6,7304
Prince Fielder,Rangers,158,693,23,78,98,0,9.20%,12.70%,0.158,0.323,0.305,0.378,0.463,0.36,124,-6.6,12.4,-20,1.6,4613
Elvis Andrus,Rangers,160,661,7,69,62,25,7.00%,11.80%,0.099,0.283,0.258,0.309,0.357,0.292,77,3.8,-14.2,7.1,1.6,8709
Nick Markakis,Braves,156,686,3,73,53,2,10.20%,12.10%,0.08,0.338,0.296,0.37,0.376,0.327,107,-1.7,4.2,-10.8,1.6,5930
Alcides Escobar,Royals,148,662,3,76,47,17,3.90%,11.30%,0.064,0.286,0.257,0.293,0.32,0.271,67,4.4,-21.2,13.9,1.5,6310
Chase Headley,Yankees,156,642,11,74,62,0,7.90%,21.00%,0.11,0.317,0.259,0.324,0.369,0.307,91,0.5,-6.1,-0.8,1.5,4720
